ParameterValue,Run,ExecutionTime,Makespan,AvgRT,AvgUtilization,TotalCost,BestFitness,MaxLoad
30.0,4,83.2498,285.51000000000005,57.061471,0.3186623936114321,362.8842658333329,0.21709796923329544,17
30.0,5,80.4375,306.338,54.42880816666665,0.2932158868091237,365.8478074999999,0.20889322810378944,19
30.0,6,84.5997,247.792,57.50669616666665,0.36394744382385225,366.36520666666644,0.22638219933014725,22
30.0,7,77.675,232.679,51.16828816666665,0.37424087118591126,359.529425833333,0.21113248563669584,18
30.0,8,82.0587,280.49600000000004,57.53732166666668,0.3350196318901753,363.31501833333357,0.2179011059210713,16
30.0,9,82.0503,214.80300000000003,50.309586166666634,0.3977621355381441,340.11519083333354,0.22054640916193055,16
30.0,10,81.5674,281.904,52.78637266666664,0.3194516986870235,364.7121858333333,0.21706495303320616,20
30.0,11,80.5604,307.217,55.80393383333329,0.2935188156905379,365.0714716666665,0.2056365507064076,18
30.0,12,82.1034,300.46000000000004,54.763204166666654,0.29072194302070153,340.15516,0.22480501599347855,19
30.0,13,81.954,232.5505,54.126678500000004,0.37303432301084427,351.76482083333366,0.21987386072272408,22
30.0,14,85.7276,281.048,52.66015599999998,0.3099394943212548,353.29982916666677,0.20629520059413947,17
40.0,0,107.6035,295.099,61.10709516666664,0.32632980231492936,371.7602025,0.22533275998751212,19
40.0,1,114.652,220.48000000000002,53.38301983333333,0.4037063830430575,354.486541666667,0.2183470544797958,17
40.0,2,106.3935,233.702,55.33802116666671,0.36693332391963557,347.14802250000014,0.22446158523044207,28
40.0,3,109.9934,250.953,60.36116733333336,0.3787546273605017,374.35028250000016,0.21334178790904473,20
40.0,4,160.8674,244.173,53.43546383333333,0.35602290862080027,349.34825416666655,0.2052072294625859,18
40.0,5,131.1186,289.627,53.926399666666654,0.3159689013800508,364.73438666666704,0.22189308162910587,16
40.0,6,114.0016,342.288,55.28283416666662,0.2551560820128079,352.56348666666685,0.22273263173571972,21
40.0,7,113.6619,335.766,56.79690416666665,0.2937538891172224,378.8805041666668,0.21765259010730142,18
40.0,8,122.683,231.519,53.68738150000003,0.394537115024397,358.4821125000002,0.22829158513974807,19
